"topic","prob_1","prob_2","prob_3","prob_4","prob_5","score_1","score_2","score_3","score_4","score_5"
1,"sleep","disord","apnea","peopl","medic","apnea","disord","insomnia","sleep","patient"
2,"game","hit","run","pitch","basebal","inning","game","pitcher","basebal","pitch"
3,"will","saturday","friday","sunday","church","funer","church","saturday","sunday","friday"
4,"homeless","shelter","peopl","servic","help","homeless","shelter","volunt","church","servic"
5,"store","mattress","bed","shop","buy","mattress","store","bed","retail","shop"
6,"anim","cat","human","adopt","bear","cat","anim","adopt","fox","human"
7,"school","high","teacher","student","start","elementari","school","student","teacher","teen"
8,"counti","jail","prison","sheriff","offici","jail","counti","prison","sheriff","supervisor"
9,"babi","infant","parent","mother","birth","infant","babi","parent","birth","pediatr"
10,"hotel","room","guest","inn","rate","inn","hotel","guest","room","lodg"
11,"room","can","design","use","space","pillow","room","space","design","bedroom"
12,"game","point","play","said","score","rebound","game","playoff","victori","score"
13,"flight","travel","airport","plane","airlin","airlin","flight","airport","plane","passeng"
14,"michael","brown","jackson","told","gari","jackson","michael","brown","vega","las"
15,"dream","life","one","mind","peopl","dream","nightmar","memori","emot","mind"
16,"music","song","band","perform","danc","album","music","song","band","danc"
17,"park","camp","summer","tent","day","camp","park","tent","summer","cabin"
18,"dog","pet","owner","home","put","dog","pet","owner","rescu","anim"
19,"drink","alcohol","smoke","coffe","can","caffein","drink","alcohol","smoke","coffe"
20,"presid","campaign","democrat","clinton","vote","clinton","democrat","republican","senat","campaign"
21,"money","fund","stock","year","market","stock","fund","invest","market","tax"
22,"king","goal","wilson","ice","brian","duck","king","wilson","goal","ice"
23,"street","black","peopl","man","block","gang","street","neighborhood","black","gun"
24,"show","news","call","will","phone","chart","comput","internet","network","onlin"
25,"won","world","win","sport","olymp","olymp","won","win","championship","athlet"
26,"love","will","friend","husband","dear","dear","love","husband","marri","marriag"
27,"drug","use","medic","effect","treatment","prescrib","drug","pill","patient","medic"
28,"photo","illustr","caption","chicago","color","text","photo","caption","illustr","chicago"
29,"film","movi","play","star","show","film","movi","actor","comedi","theater"
30,"hous","home","fire","live","apart","fire","hous","apart","home","build"
31,"island","water","boat","river","fish","boat","island","fish","sea","river"
32,"percent","studi","risk","health","report","diabet","percent","studi","health","diseas"
33,"sleep","hour","get","day","time","nap","hour","sleep","depriv","sleepi"
34,"case","death","charg","kill","investig","juri","prosecutor","murder","testifi","attorney"
35,"race","run","ride","hors","mile","hors","race","ride","bike","mile"
36,"govern","nation","will","polit","countri","reagan","govern","polit","minist","nation"
37,"can","may","problem","pain","depress","headach","symptom","depress","pain","stress"
38,"travel","trip","tour","includ","cruis","cruis","tour","travel","trip","tourist"
39,"john","washington","william","robert","georg","kennedi","william","john","washington","johnson"
40,"team","player","coach","season","play","quarterback","coach","player","team","game"
41,"american","countri","cultur","world","state","spanish","immigr","american","cultur","japanes"
42,"train","worker","work","union","crew","pilot","worker","crew","train","union"
43,"student","colleg","univers","program","class","campus","student","colleg","program","class"
44,"car","drive","driver","road","truck","driver","car","truck","drive","bus"
45,"one","back","look","day","hand","bird","man","walk","smile","back"
46,"children","parent","child","kid","famili","foster","children","parent","child","kid"
47,"research","studi","brain","univers","test","hormon","research","brain","studi","scientist"
48,"new","york","art","street","center","galleri","museum","art","york","street"
49,"night","sleep","bed","get","wake","sleeper","bed","night","sleep","bedtim"
50,"war","bush","militari","armi","forc","bush","war","militari","soldier","armi"
51,"say","peopl","get","today","work","usa","say","add","peopl","shes"
52,"citi","resid","new","council","will","council","citi","mayor","resid","offici"
53,"food","eat","cook","restaur","dinner","wine","food","restaur","cook","dinner"
54,"hospit","medic","patient","doctor","care","cancer","patient","hospit","medic","doctor"
55,"get","like","just","dont","think","bat","hes","think","dont","guy"
56,"light","time","day","clock","morn","clock","light","rhythm","shift","alarm"
57,"angel","los","san","time","california","seal","angel","los","san","california"
58,"water","plant","cold","farm","winter","plant","farm","water","tree","temperatur"
59,"counti","orang","santa","beach","regist","ana","counti","orang","santa","beach"
60,"breath","nois","surgeri","snore","sound","snore","surgeri","breath","nois","devic"
61,"compani","million","busi","year","new","revenu","compani","million","industri","busi"
62,"club","play","round","open","green","golf","tournament","club","player","round"
63,"women","men","woman","sex","male","era","women","men","woman","sex"
64,"mark","miller","grant","howard","allen","miller","allen","howard","larri","tim"
65,"book","write","stori","one","read","novel","book","write","fiction","stori"
66,"famili","year","father","mother","son","mrs","father","mother","son","famili"
67,"law","state","court","rule","legal","suprem","law","court","legal","lawyer"
68,"exercis","can","bodi","weight","eat","exercis","weight","diet","bodi","fat"
69,"said","polic","offic","report","two","polic","said","yesterday","offic","offici"
70,"smith","stephen","carolina","one","time","smith","stephen","carolina","north","miss"
