"topic_letter","topic_number","filename"
"A",1,"top_articles_topic_01_A.csv"
"E",5,"top_articles_topic_05_E.csv"
"G",7,"top_articles_topic_07_G.csv"
"I",9,"top_articles_topic_09_I.csv"
"K",11,"top_articles_topic_11_K.csv"
"AA",27,"top_articles_topic_27_AA.csv"
"FF",32,"top_articles_topic_32_FF.csv"
"GG",33,"top_articles_topic_33_GG.csv"
"KK",37,"top_articles_topic_37_KK.csv"
"TT",46,"top_articles_topic_46_TT.csv"
"UU",47,"top_articles_topic_47_UU.csv"
"WW",49,"top_articles_topic_49_WW.csv"
"XX",50,"top_articles_topic_50_XX.csv"
"YY",51,"top_articles_topic_51_YY.csv"
"DDD",56,"top_articles_topic_56_DDD.csv"
"III",61,"top_articles_topic_61_III.csv"
"HHH",60,"top_articles_topic_60_HHH.csv"
"PPP",68,"top_articles_topic_68_PPP.csv"
"BBB",54,"top_articles_topic_54_BBB.csv"
