"Frame1","Frame2","cooccurrence_rate"
"technology","moral",66.25009702709
"moral","technology",66.25009702709
"lifestyle","moral",61.8528293099433
"moral","lifestyle",61.8528293099433
"economic","moral",59.8773577582861
"moral","economic",59.8773577582861
"technology","lifestyle",57.6961887759062
"lifestyle","technology",57.6961887759062
"technology","economic",56.5241015291469
"economic","technology",56.5241015291469
"moral","productivity",54.9561437553365
"productivity","moral",54.9561437553365
"lifestyle","economic",52.8099045253435
"economic","lifestyle",52.8099045253435
"technology","productivity",52.4722502522704
"productivity","technology",52.4722502522704
"social","moral",52.0375688892339
"moral","social",52.0375688892339
"economic","productivity",50.3531786074672
"productivity","economic",50.3531786074672
"social","technology",49.0413723511604
"technology","social",49.0413723511604
"moral","health",48.9792750135838
"health","moral",48.9792750135838
"social","lifestyle",48.7658154156641
"lifestyle","social",48.7658154156641
"lifestyle","productivity",48.3621827214158
"productivity","lifestyle",48.3621827214158
"technology","health",46.1848948226345
"health","technology",46.1848948226345
"social","economic",45.2728401769774
"economic","social",45.2728401769774
"lifestyle","health",43.8678879143057
"health","lifestyle",43.8678879143057
"social","productivity",42.3465031436777
"productivity","social",42.3465031436777
"economic","health",41.0036482185826
"health","economic",41.0036482185826
"scientific","moral",40.5223938523636
"moral","scientific",40.5223938523636
"productivity","health",39.994566482962
"health","productivity",39.994566482962
"technology","scientific",39.4395715283707
"scientific","technology",39.4395715283707
"social","health",37.087634867655
"health","social",37.087634867655
"lifestyle","scientific",36.0746720484359
"scientific","lifestyle",36.0746720484359
"scientific","productivity",34.8521307148956
"productivity","scientific",34.8521307148956
"economic","scientific",34.5416440270123
"scientific","economic",34.5416440270123
"scientific","health",32.795156407669
"health","scientific",32.795156407669
"social","scientific",32.0499883567492
"scientific","social",32.0499883567492
