"word","degree","betweenness","pagerank","topic"
"say",19,0,0.0566726114257488,"Topic 33: Daily Living/Work"
"get",19,0,0.0561693713623154,"Topic 33: Daily Living/Work"
"can",19,0,0.0559351497579917,"Topic 33: Daily Living/Work"
"dont",19,0,0.0464269105326075,"Topic 33: Daily Living/Work"
"like",19,0,0.0575894645289747,"Topic 33: Daily Living/Work"
"peopl",19,0,0.0581269896866997,"Topic 33: Daily Living/Work"
"just",19,0,0.0529701153968976,"Topic 33: Daily Living/Work"
"think",19,0,0.0435617231082965,"Topic 33: Daily Living/Work"
"make",19,0,0.0536729138908721,"Topic 33: Daily Living/Work"
"thing",19,0,0.0410555875886408,"Topic 33: Daily Living/Work"
"want",19,0,0.0479104398713604,"Topic 33: Daily Living/Work"
"know",19,0,0.0440979907086865,"Topic 33: Daily Living/Work"
"will",19,0,0.0599580459109485,"Topic 33: Daily Living/Work"
"time",19,0,0.0624249636413598,"Topic 33: Daily Living/Work"
"take",19,0,0.048840471633978,"Topic 33: Daily Living/Work"
"one",19,0,0.0656798161923614,"Topic 33: Daily Living/Work"
"good",19,0,0.0398449541465936,"Topic 33: Daily Living/Work"
"that",19,0,0.0330060009760496,"Topic 33: Daily Living/Work"
"feel",19,0.383040935672515,0.030100658390421,"Topic 33: Daily Living/Work"
"way",19,0,0.0459558212491963,"Topic 33: Daily Living/Work"
"say",19,0,0.056644135234083,"Topic 51: Work-Life Balance"
"get",19,0,0.0586663872152867,"Topic 51: Work-Life Balance"
"can",19,0,0.0637666858312097,"Topic 51: Work-Life Balance"
"dont",19,0,0.0480690704415255,"Topic 51: Work-Life Balance"
"like",19,0,0.058503517441833,"Topic 51: Work-Life Balance"
"peopl",19,0,0.0589073776751666,"Topic 51: Work-Life Balance"
"just",19,0,0.0503576885130123,"Topic 51: Work-Life Balance"
"think",19,0,0.0421880363400297,"Topic 51: Work-Life Balance"
"make",19,0,0.054601177220756,"Topic 51: Work-Life Balance"
"thing",19,0,0.0391567105574328,"Topic 51: Work-Life Balance"
"want",19,0,0.0396119496683828,"Topic 51: Work-Life Balance"
"know",19,0,0.0421446719909697,"Topic 51: Work-Life Balance"
"will",19,0,0.0536163183114069,"Topic 51: Work-Life Balance"
"time",19,0,0.0642027551224702,"Topic 51: Work-Life Balance"
"take",19,0,0.0513726819903296,"Topic 51: Work-Life Balance"
"one",19,0,0.0644697254772086,"Topic 51: Work-Life Balance"
"good",19,0,0.0399495191826386,"Topic 51: Work-Life Balance"
"that",19,0.333333333333333,0.0306082616791854,"Topic 51: Work-Life Balance"
"feel",19,0,0.0382883315741741,"Topic 51: Work-Life Balance"
"way",19,0,0.0448749985328988,"Topic 51: Work-Life Balance"
